run_id,profile_id,completion_reason,valid_for_analysis,target_duration_s,actual_duration_s,warmup_duration_s,packet_loss_percent,delay_ms,disconnect_at_s,disconnect_duration_s,duplicate_percent,out_of_order_percent,missing_vehicle_percent,invalid_vehicle_percent,missing_actors_percent,received_messages,transport_published_messages,applied_snapshots,rejected_contract,rejected_malformed_json,rejected_invalid,rejected_duplicate,rejected_out_of_order,stale_frame_percentage,mean_latency_ms,p95_latency_ms,mean_state_age_ms,p95_state_age_ms,mean_frame_time_ms,p95_frame_time_ms,mean_fps,recovery_elapsed_s,recovery_time_ms,maximum_recovery_jump_m,warning_count,error_count,snapshot_rows,frame_rows,source_rate_hz,source_fault_seed,source_packet_loss_percent,source_delay_ms,source_disconnect_at_s,source_disconnect_duration_s,source_duplicate_percent,source_out_of_order_percent,source_missing_vehicle_percent,source_invalid_vehicle_percent,source_missing_actors_percent,source_generated_messages,source_intentionally_dropped_messages,source_duplicate_messages_sent,source_out_of_order_messages_scheduled,source_malformed_messages_sent,mean_position_error_m,p95_position_error_m,maximum_position_error_m,matched_position_frames
delay250_r02,delay250,measurement_window_complete,True,300,300.001999,30,0,250,-1,0.0,0,0,0,0,0,9065,9000,9000,0,0,0,0,0,0.0,251.888464,253.148806,268.18113,283.255601,0.847732,1.638166,1179.618079,,,,0,0,9000,353887,30.0,902,0.0,250.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9000,0,0,0,0,5.726854121449425,5.747843065341488,12.89257789982233,353887
delay250_r03,delay250,measurement_window_complete,True,300,300.002575,30,0,250,-1,0.0,0,0,0,0,0,9066,9000,9000,0,0,0,0,0,0.000285,254.192696,253.190482,268.103391,283.307791,0.853805,1.706374,1171.228188,228.505016,6.591797,7.405531,0,0,9000,351371,30.0,903,0.0,250.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9000,0,0,0,0,5.7262178009774365,5.745474424229554,19.601047802458204,351371
delay500_r01,delay500,measurement_window_complete,True,300,300.002254,30,0,500,-1,0.0,0,0,0,0,0,9071,9000,9000,0,0,0,0,0,0.0,501.22868,501.984119,518.075641,532.927036,0.758343,1.61554,1318.663796,,,,0,0,9000,395601,30.0,901,0.0,500.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9000,0,0,0,0,9.198554458908713,9.21352137072503,11.21064258042499,395601
delay500_r02,delay500,measurement_window_complete,True,300,300.001709,30,0,500,-1,0.0,0,0,0,0,0,9067,9000,9000,0,0,0,0,0,0.0,501.244117,502.839816,517.9719,532.917976,0.805279,0.907129,1241.805854,,,,0,0,9000,372543,30.0,902,0.0,500.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9000,0,0,0,0,9.198294993874635,9.210995257564607,10.698666846958586,372543
delay500_r03,delay500,measurement_window_complete,True,300,300.001163,30,0,500,-1,0.0,0,0,0,0,0,9069,9000,9000,0,0,0,0,0,0.0,501.027441,501.735926,518.24029,532.976866,0.770134,1.62491,1298.47588,,,,0,0,9000,389544,30.0,903,0.0,500.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9000,0,0,0,0,9.19677776492587,9.211403423723004,10.033372136278281,389544
disconnect05_r01,disconnect05,measurement_window_complete,True,300,300.001465,30,0,0,120,0.5,0,0,0,0,0,9058,8985,8985,0,0,0,0,0,0.0,0.918172,1.8857,18.418122,32.786846,0.762158,1.61121,1312.063592,120.501465,1.464844,5.200895,0,0,8985,393620,30.0,901,0.0,0.0,120.0,0.5,0.0,0.0,0.0,0.0,0.0,9000,15,0,0,0,2.2493860056710933,2.260487533638411,7.422962488161603,393620
disconnect05_r02,disconnect05,measurement_window_complete,True,300,300.002041,30,0,0,120,0.5,0,0,0,0,0,9055,8985,8985,0,0,0,0,0,0.000257,2.601796,1.890755,18.263928,32.820368,0.770861,1.593587,1297.250006,46.716908,0.0,7.289811,0,0,8985,389177,30.0,902,0.0,0.0,120.0,0.5,0.0,0.0,0.0,0.0,0.0,9000,15,0,0,0,2.249128012309369,2.259549200179699,16.243087728805197,389177
disconnect05_r03,disconnect05,measurement_window_complete,True,300,300.004417,30,0,0,120,0.5,0,0,0,0,0,9044,8986,8986,0,0,0,0,0,0.000299,3.036073,3.442764,18.403568,32.845974,0.896482,0.916879,1115.471034,120.530708,30.708313,0.018779,0,0,8986,334651,30.0,903,0.0,0.0,120.0,0.5,0.0,0.0,0.0,0.0,0.0,9000,15,0,0,0,2.253500068348226,2.280312772064197,16.29395930690425,334651
disconnect1_r01,disconnect1,measurement_window_complete,True,300,300.002869,30,0,0,120,1.0,0,0,0,0,0,9042,8970,8970,0,0,0,0,0,0.012223,1.476345,1.435566,19.436839,33.022165,0.797128,1.682373,1254.502933,121.001785,1.785278,14.36661,0,0,8970,376352,30.0,901,0.0,0.0,120.0,1.0,0.0,0.0,0.0,0.0,0.0,9000,30,0,0,0,2.2624859097793353,2.258242981611569,14.37670540761422,376352
disconnect1_r02,disconnect1,measurement_window_complete,True,300,300.001812,30,0,0,120,1.0,0,0,0,0,0,9045,8970,8970,0,0,0,0,0,0.011424,0.781719,1.084089,19.705721,32.851982,0.761623,1.615094,1312.98606,121.000988,0.988007,14.358209,0,0,8970,393897,30.0,902,0.0,0.0,120.0,1.0,0.0,0.0,0.0,0.0,0.0,9000,30,0,0,0,2.2613975399881054,2.2569760284313114,14.361510082587527,393897
disconnect1_r03,disconnect1,measurement_window_complete,True,300,300.002052,30,0,0,120,1.0,0,0,0,0,0,9032,8970,8970,0,0,0,0,0,0.012528,0.797471,1.073015,19.613387,32.936096,0.835178,0.919074,1197.349661,121.001289,1.289368,14.372053,0,0,8970,359206,30.0,903,0.0,0.0,120.0,1.0,0.0,0.0,0.0,0.0,0.0,9000,30,0,0,0,2.263571231006568,2.250576721541214,14.379664993382503,359206
disconnect2_r01,disconnect2,measurement_window_complete,True,300,300.004108,30,0,0,120,2.0,0,0,0,0,0,9006,8939,8939,0,0,0,0,0,0.387861,0.921845,1.482391,25.015663,32.993078,0.794256,1.694834,1259.039967,122.000614,0.614166,28.248425,0,0,8939,377713,30.0,901,0.0,0.0,120.0,2.0,0.0,0.0,0.0,0.0,0.0,9000,60,0,0,0,2.3350857506113663,2.2595181909061286,28.259262762306378,377713
disconnect2_r02,disconnect2,measurement_window_complete,True,300,300.006775,30,0,0,120,2.0,0,0,0,0,0,9001,8940,8940,0,0,0,0,0,0.407213,1.943925,2.223969,25.732184,33.205986,0.896961,1.848078,1114.875355,121.994827,0.0,28.250128,0,0,8940,334469,30.0,902,0.0,0.0,120.0,2.0,0.0,0.0,0.0,0.0,0.0,9000,60,0,0,0,2.34212779738348,2.267855407920368,28.256020199359092,334469
disconnect2_r03,disconnect2,measurement_window_complete,True,300,300.001892,30,0,0,120,2.0,0,0,0,0,0,9005,8941,8941,0,0,0,0,0,0.396127,1.022843,1.367807,25.255997,33.141851,0.856808,1.797251,1167.122462,122.000763,0.762939,28.264854,0,0,8941,350140,30.0,903,0.0,0.0,120.0,2.0,0.0,0.0,0.0,0.0,0.0,9000,60,0,0,0,2.338424230518755,2.2623476674940735,28.275850528545256,350140
disconnect5_r01,disconnect5,measurement_window_complete,True,300,300.023132,30,0,0,120,5.0,0,0,0,0,0,8924,8850,8850,0,0,0,0,0,1.477575,1.843968,2.076995,64.03587,33.325911,0.792696,1.671584,1261.517938,124.999695,0.0,69.880653,0,0,8850,378458,30.0,901,0.0,0.0,120.0,5.0,0.0,0.0,0.0,0.0,0.0,9000,150,0,0,0,2.852455999059543,2.268595163670565,69.9063980174452,378458
disconnect5_r02,disconnect5,measurement_window_complete,True,300,300.002373,30,0,0,120,5.0,0,0,0,0,0,8921,8850,8850,0,0,0,0,0,1.430064,1.450266,1.4691,62.301808,33.335924,0.760811,1.610417,1314.386445,125.000282,0.282288,69.726189,0,0,8850,394318,30.0,902,0.0,0.0,120.0,5.0,0.0,0.0,0.0,0.0,0.0,9000,150,0,0,0,2.828850806787754,2.2595493509440954,69.73491234671091,394318
disconnect5_r03,disconnect5,measurement_window_complete,True,300,300.001476,30,0,0,120,5.0,0,0,0,0,0,8916,8850,8850,0,0,0,0,0,1.439985,1.336567,1.072061,62.382891,33.406258,0.802969,1.683957,1245.378381,125.002102,2.101898,69.945091,0,0,8850,373615,30.0,903,0.0,0.0,120.0,5.0,0.0,0.0,0.0,0.0,0.0,9000,150,0,0,0,2.833618235585891,2.258670118167144,69.95377354505636,373615
duplicate_r01,duplicate,measurement_window_complete,True,60,60.001415,30,0,0,-1,0.0,5,0,0,0,0,1907,1892,1800,0,0,0,92,0,0.0,0.778561,1.077175,17.701767,32.695413,0.781556,0.910665,1279.499567,,,,92,0,1800,76771,30.0,901,0.0,0.0,-1.0,0.0,5.0,0.0,0.0,0.0,0.0,1800,0,92,0,0,2.2448322822092757,2.2502909716865185,2.6681124575558153,76771
invalidvehicle_r01,invalidvehicle,measurement_window_complete,True,60,60.001854,30,0,0,-1,0.0,0,0,0,5,0,1812,1801,1801,0,0,0,0,0,0.0,2.29421,3.72982,18.185627,32.98372,1.212973,5.914169,824.420393,,,,0,0,1801,49470,30.0,901,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,5.0,0.0,1800,0,0,0,0,2.2633415963902657,2.348655471287467,2.8602137889467616,49470
loss05_r01,loss05,measurement_window_complete,True,300,300.007313,30,5,0,-1,0.0,0,0,0,0,0,8633,8573,8573,0,0,0,0,0,0.000322,2.965557,1.212549,19.646066,34.938288,0.96515,1.054082,1036.108123,282.811085,3.112793,8.763567,0,0,8573,310839,30.0,901,5.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9000,428,0,0,0,2.2485372596981072,2.254594626645241,17.12790545113897,310839
loss05_r02,loss05,measurement_window_complete,True,300,300.007748,30,5,0,-1,0.0,0,0,0,0,0,8578,8524,8524,0,0,0,0,0,0.000647,4.696199,2.965379,19.84057,37.424898,0.970803,1.82996,1030.075528,75.363659,1.625061,7.63759,0,0,8524,309024,30.0,902,5.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9000,477,0,0,0,2.249694123911577,2.2776763508560136,17.004758792123162,309024
loss05_r03,loss05,measurement_window_complete,True,300,300.001625,30,5,0,-1,0.0,0,0,0,0,0,8595,8538,8538,0,0,0,0,0,0.000313,2.461333,1.135218,19.764728,36.01408,0.937705,1.582791,1066.433472,198.029472,1.144409,8.497133,0,0,8538,319931,30.0,903,5.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9000,462,0,0,0,2.2475706968735336,2.259683490410991,16.222289062614934,319931
loss10_r01,loss10,measurement_window_complete,True,300,300.010864,30,10,0,-1,0.0,0,0,0,0,0,8195,8137,8137,0,0,0,0,0,0.0,0.966883,2.149105,21.420023,52.112436,0.930087,1.591582,1075.168663,,,,0,0,8137,322552,30.0,901,10.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9000,863,0,0,0,2.248422296303741,2.260546256877077,2.8394879358353777,322552
loss10_r02,loss10,measurement_window_complete,True,300,300.001541,30,10,0,-1,0.0,0,0,0,0,0,8173,8110,8110,0,0,0,0,0,0.0,1.157267,2.625299,21.437271,52.759671,0.824372,1.083599,1213.044826,,,,2,0,8110,363915,30.0,902,10.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9000,890,0,0,0,2.2470494854491814,2.261831552511868,4.838989449225656,363915
loss10_r03,loss10,measurement_window_complete,True,300,300.002071,30,10,0,-1,0.0,0,0,0,0,0,8133,8071,8071,0,0,0,0,0,0.0,1.018688,2.41518,21.524647,53.342509,0.861222,0.915377,1161.141388,,,,0,0,8071,348344,30.0,903,10.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9000,929,0,0,0,2.247685669881577,2.2632335902250875,2.878715357427897,348344
loss20_r01,loss20,measurement_window_complete,True,300,300.002392,30,20,0,-1,0.0,0,0,0,0,0,7288,7227,7227,0,0,0,0,0,0.000316,3.435299,2.718639,25.878948,64.904928,0.94895,1.83809,1053.796628,86.749332,1.220703,8.656964,0,0,7227,316140,30.0,901,20.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9000,1773,0,0,0,2.2493050080949937,2.2673812070381683,16.655019682308517,316140
loss20_r02,loss20,measurement_window_complete,True,300,300.002457,30,20,0,-1,0.0,0,0,0,0,0,7268,7208,7208,0,0,0,0,0,0.000916,7.228405,3.287899,25.978193,65.404356,0.916213,1.802296,1091.44925,76.982353,2.220154,8.74062,0,0,7208,327436,30.0,902,20.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9000,1793,0,0,0,2.2484530062348216,2.273430657806914,16.7187840715275,327436
loss20_r03,loss20,measurement_window_complete,True,300,300.001469,30,20,0,-1,0.0,0,0,0,0,0,7238,7171,7171,0,0,0,0,0,0.0,1.164709,3.247499,26.315529,65.841126,0.891848,1.708989,1121.267885,,,,0,0,7171,336387,30.0,903,20.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9000,1830,0,0,0,2.2488372906241647,2.275204946583181,2.818590656618044,336387
missingactors_r01,missingactors,measurement_window_complete,True,60,60.000854,30,0,0,-1,0.0,0,0,0,0,5,1814,1800,1800,0,0,0,0,0,0.0,1.368863,2.9459,17.811862,32.765245,0.966291,0.995154,1034.884747,,,,0,0,1800,62094,30.0,901,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,5.0,1800,0,0,0,92,2.2520038286468704,2.276211885401127,2.7227667457833307,62094
missingvehicle_r01,missingvehicle,measurement_window_complete,True,60,60.000488,30,0,0,-1,0.0,0,0,5,0,0,1816,1708,1708,92,0,0,0,0,0.0,0.866622,1.09067,19.542918,35.354328,0.80606,0.91267,1240.601961,,,,92,0,1708,74437,30.0,901,0.0,0.0,-1.0,0.0,0.0,0.0,5.0,0.0,0.0,1800,0,0,0,92,2.245238048983458,2.2507366975426355,3.6009929955120534,74437
outoforder_r01,outoforder,measurement_window_complete,True,60,60.001915,30,0,0,-1,0.0,0,5,0,0,0,1809,1801,1709,0,0,0,0,92,0.0,1.981316,3.806162,19.881665,37.02426,1.047953,5.352723,954.241372,,,,92,0,1709,57256,30.0,901,0.0,0.0,-1.0,0.0,0.0,5.0,0.0,0.0,0.0,1800,0,0,92,0,2.2584933124987208,2.340183627344127,3.041034083276647,57256
