controller,seed,manifest_id,scenario_id,scenario_type,scenario_category,primary_actor_id,actor_ids,mixed,route_position_m,encountered,evaluable,encountered_at_s,resolved_at_s,time_to_resolve_s,completed,success,collision,deadlock_duration_s,overtake_attempted,overtake_successful,minimum_ttc_s,minimum_clearance_m
Hybrid ML Controller,2026024,eccd46ee998c0eea,seed-2026024-scenario-00038,slow_car,mixed,sim-001eea28-slow-car-00038,sim-001eea28-slow-car-00038|sim-001eea28-left-traffic-00038,True,3419.625228740071,False,False,,,,False,False,False,0.0,False,False,,
Hybrid ML Controller,2026024,eccd46ee998c0eea,seed-2026024-scenario-00039,stopped_car,stopped_car,sim-001eea28-stopped-car-00039,sim-001eea28-stopped-car-00039,False,3518.402300302768,False,False,,,,False,False,False,0.0,False,False,,
Hybrid ML Controller,2026024,eccd46ee998c0eea,seed-2026024-scenario-00040,stopped_car,mixed,sim-001eea28-stopped-car-00040,sim-001eea28-stopped-car-00040|sim-001eea28-left-traffic-00040,True,3608.3105452862865,False,False,,,,False,False,False,0.0,False,False,,
Hybrid ML Controller,2026024,eccd46ee998c0eea,seed-2026024-scenario-00041,pedestrian,pedestrian,sim-001eea28-pedestrian-00041,sim-001eea28-pedestrian-00041,False,3677.6819803726053,False,False,,,,False,False,False,0.0,False,False,,
Hybrid ML Controller,2026024,eccd46ee998c0eea,seed-2026024-scenario-00042,slow_car,mixed,sim-001eea28-slow-car-00042,sim-001eea28-slow-car-00042|sim-001eea28-left-traffic-00042,True,3774.4193910905306,False,False,,,,False,False,False,0.0,False,False,,
Hybrid ML Controller,2026024,eccd46ee998c0eea,seed-2026024-scenario-00043,pedestrian,pedestrian,sim-001eea28-pedestrian-00043,sim-001eea28-pedestrian-00043,False,3877.851081237581,False,False,,,,False,False,False,0.0,False,False,,
Hybrid ML Controller,2026024,eccd46ee998c0eea,seed-2026024-scenario-00044,stopped_car,stopped_car,sim-001eea28-stopped-car-00044,sim-001eea28-stopped-car-00044,False,3956.20341581104,False,False,,,,False,False,False,0.0,False,False,,
Hybrid ML Controller,2026024,eccd46ee998c0eea,seed-2026024-scenario-00045,slow_car,slow_car,sim-001eea28-slow-car-00045,sim-001eea28-slow-car-00045,False,4028.0438076756755,False,False,,,,False,False,False,0.0,False,False,,
Hybrid ML Controller,2026024,eccd46ee998c0eea,seed-2026024-scenario-00046,truck,truck,sim-001eea28-truck-00046,sim-001eea28-truck-00046,False,4122.850699834816,False,False,,,,False,False,False,0.0,False,False,,
Hybrid ML Controller,2026024,eccd46ee998c0eea,seed-2026024-scenario-00047,slow_car,slow_car,sim-001eea28-slow-car-00047,sim-001eea28-slow-car-00047,False,4216.829587676897,False,False,,,,False,False,False,0.0,False,False,,
