controller,seed,manifest_id,scenario_id,scenario_type,scenario_category,primary_actor_id,actor_ids,mixed,route_position_m,encountered,evaluable,encountered_at_s,resolved_at_s,time_to_resolve_s,completed,success,collision,deadlock_duration_s,overtake_attempted,overtake_successful,minimum_ttc_s,minimum_clearance_m
Hybrid ML Controller,2026001,81cfec9ee9acb36c,seed-2026001-scenario-00009,truck,mixed,sim-001eea11-truck-00009,sim-001eea11-truck-00009|sim-001eea11-left-traffic-00009,True,907.0852276089341,True,False,117.29999999999548,,,False,False,False,0.0,False,False,34.0751356205925,46.54477937479017
Hybrid ML Controller,2026001,81cfec9ee9acb36c,seed-2026001-scenario-00010,slow_car,mixed,sim-001eea11-slow-car-00010,sim-001eea11-slow-car-00010|sim-001eea11-left-traffic-00010,True,1013.6123603905837,True,False,115.94999999999555,,,False,False,False,0.0,False,False,29.28816789460772,30.61357321614892
Hybrid ML Controller,2026001,81cfec9ee9acb36c,seed-2026001-scenario-00012,slow_car,slow_car,sim-001eea11-slow-car-00012,sim-001eea11-slow-car-00012,False,1189.2794289225099,False,False,,,,False,False,False,0.0,False,False,,
Hybrid ML Controller,2026001,81cfec9ee9acb36c,seed-2026001-scenario-00013,pedestrian,pedestrian,sim-001eea11-pedestrian-00013,sim-001eea11-pedestrian-00013,False,1280.6766168691174,False,False,,,,False,False,False,0.0,False,False,,
Hybrid ML Controller,2026001,81cfec9ee9acb36c,seed-2026001-scenario-00014,truck,truck,sim-001eea11-truck-00014,sim-001eea11-truck-00014,False,1368.4747322854612,False,False,,,,False,False,False,0.0,False,False,,
Hybrid ML Controller,2026001,81cfec9ee9acb36c,seed-2026001-scenario-00015,stopped_car,stopped_car,sim-001eea11-stopped-car-00015,sim-001eea11-stopped-car-00015,False,1468.2226789478407,False,False,,,,False,False,False,0.0,False,False,,
Hybrid ML Controller,2026001,81cfec9ee9acb36c,seed-2026001-scenario-00016,stopped_car,stopped_car,sim-001eea11-stopped-car-00016,sim-001eea11-stopped-car-00016,False,1570.9052145798885,False,False,,,,False,False,False,0.0,False,False,,
Hybrid ML Controller,2026001,81cfec9ee9acb36c,seed-2026001-scenario-00017,truck,mixed,sim-001eea11-truck-00017,sim-001eea11-truck-00017|sim-001eea11-left-traffic-00017,True,1647.238882677541,False,False,,,,False,False,False,0.0,False,False,,
Hybrid ML Controller,2026001,81cfec9ee9acb36c,seed-2026001-scenario-00019,stopped_car,stopped_car,sim-001eea11-stopped-car-00019,sim-001eea11-stopped-car-00019,False,1826.1152594844223,False,False,,,,False,False,False,0.0,False,False,,
Hybrid ML Controller,2026001,81cfec9ee9acb36c,seed-2026001-scenario-00020,slow_car,mixed,sim-001eea11-slow-car-00020,sim-001eea11-slow-car-00020|sim-001eea11-left-traffic-00020,True,1913.733169539317,False,False,,,,False,False,False,0.0,False,False,,
Rule Controller,2026002,0532c34066c81ae2,seed-2026002-scenario-00000,pedestrian,pedestrian,sim-001eea12-pedestrian-00000,sim-001eea12-pedestrian-00000,False,59.01616963439754,True,True,0.05,20.400000000000155,20.350000000000154,True,True,False,0.1,False,False,7.056954064463456,5.925000000000001
Rule Controller,2026002,0532c34066c81ae2,seed-2026002-scenario-00001,stopped_car,mixed,sim-001eea12-stopped-car-00001,sim-001eea12-stopped-car-00001|sim-001eea12-left-traffic-00001,True,132.81789964042045,True,True,18.300000000000125,25.850000000000232,7.550000000000107,True,True,False,0.0,True,True,0.06664883003549099,-0.010496095343237144
