source_label,source_mode,nominal_rate_hz,independent_runs_n,mean_measurement_duration_s,accepted_snapshots_total,completed_without_error_n,zero_sequence_gap_runs_n,weighted_fresh_snapshots_percent,mean_run_fresh_frames_percent,startup_time_median_ms,startup_time_q1_ms,startup_time_q3_ms,drive_response_median_ms,drive_response_q1_ms,drive_response_q3_ms,effective_update_rate_mean_hz,effective_update_rate_sd_hz,mean_actor_count_mean,p95_frame_time_mean_ms,p95_frame_time_sd_ms,warnings_total,errors_total
nuScenes replay,"Frame-driven replay; snapshots are canonical presentation samples, not independent sensor arrivals",,20,15.003535,86468,20,20,100.000000,100.000000,254.214526,252.439887,256.825268,0.920295,0.861168,0.979186,288.158725,16.685775,13.126765,5.039588,0.288756,0,0
Simulated stream,Local 30 Hz simulated UDP stream,30.000000,20,15.002863,9003,20,20,99.988893,99.999211,1072.350443,900.077999,2254.994034,1.209974,0.991106,1.908839,30.004273,0.023530,2.240988,6.011238,1.665616,0,0
