condition,validation_rows,fixed_rule_mae,learned_model_mae
Overall,1918,0.1842636861313869,0.14013712048810195
Dry,124,0.31699143145161285,0.2536571195862728
Fog,1765,0.1742759029745043,0.13155905950188204
Rain,15,0.4225312500000001,0.3052752298065301
Snow,14,0.012562500000000008,0.03918898568299438
