run_id,profile_id,experiment_elapsed_s,event_type,sequence_number,detail
"disconnect05_r02","disconnect05",0,"measurement_started",-1,"disconnect05"
"disconnect05_r02","disconnect05",46.714809,"state_became_stale",2390,"holding_last_accepted_state"
"disconnect05_r02","disconnect05",46.716908,"fresh_state_recovered",2391,"recovery_ms=0.000"
"disconnect05_r02","disconnect05",120.00053,"scheduled_outage_started",4618,"expected_start_s=120.000"
"disconnect05_r02","disconnect05",120.500134,"scheduled_outage_ended",4634,"expected_end_s=120.500"
