run_id,profile_id,experiment_elapsed_s,event_type,sequence_number,detail
"disconnect5_r01","disconnect5",0,"measurement_started",-1,"disconnect5"
"disconnect5_r01","disconnect5",120.000305,"scheduled_outage_started",23441,"expected_start_s=120.000"
"disconnect5_r01","disconnect5",120.965271,"state_became_stale",23441,"holding_last_accepted_state"
"disconnect5_r01","disconnect5",124.999695,"fresh_state_recovered",23592,"recovery_ms=0.000"
"disconnect5_r01","disconnect5",125.000671,"scheduled_outage_ended",23592,"expected_end_s=125.000"
