run_id,profile_id,experiment_elapsed_s,event_type,sequence_number,detail
"disconnect1_r01","disconnect1",0,"measurement_started",-1,"disconnect1"
"disconnect1_r01","disconnect1",120.000412,"scheduled_outage_started",4561,"expected_start_s=120.000"
"disconnect1_r01","disconnect1",120.967575,"state_became_stale",4561,"holding_last_accepted_state"
"disconnect1_r01","disconnect1",121.000504,"scheduled_outage_ended",4561,"expected_end_s=121.000"
"disconnect1_r01","disconnect1",121.001785,"fresh_state_recovered",4592,"recovery_ms=1.785"
