run_id,profile_id,experiment_elapsed_s,event_type,sequence_number,detail
"disconnect2_r03","disconnect2",0,"measurement_started",-1,"disconnect2"
"disconnect2_r03","disconnect2",120.000565,"scheduled_outage_started",4559,"expected_start_s=120.000"
"disconnect2_r03","disconnect2",120.967316,"state_became_stale",4559,"holding_last_accepted_state"
"disconnect2_r03","disconnect2",122.000168,"scheduled_outage_ended",4559,"expected_end_s=122.000"
"disconnect2_r03","disconnect2",122.000763,"fresh_state_recovered",4620,"recovery_ms=0.763"
