run_id,profile_id,experiment_elapsed_s,event_type,sequence_number,detail
"disconnect2_r01","disconnect2",0,"measurement_started",-1,"disconnect2"
"disconnect2_r01","disconnect2",120.000507,"scheduled_outage_started",4539,"expected_start_s=120.000"
"disconnect2_r01","disconnect2",120.966969,"state_became_stale",4539,"holding_last_accepted_state"
"disconnect2_r01","disconnect2",122.000614,"fresh_state_recovered",4600,"recovery_ms=0.614"
"disconnect2_r01","disconnect2",122.001331,"scheduled_outage_ended",4600,"expected_end_s=122.000"
