task,test_rows,accuracy,balanced_accuracy,macro_f1,weighted_f1,log_loss
risk,7962,0.8422506907812107,0.7564080835119966,0.7579764408425885,0.8462245119330234,0.4195437428168855
policy,7962,0.7965335342878673,0.6294608153164454,0.5609135790528583,0.8113786718164617,0.5149398230411754
