task,class,class_display,precision,recall,f1,support
risk,LOW,Low,0.9404968226458694,0.9052826691380909,0.9225538345296562,5395
risk,MODERATE,Moderate,0.5869074492099323,0.7020702070207021,0.639344262295082,1111
risk,HIGH,High,0.6829710144927537,0.7243035542747358,0.703030303030303,1041
risk,EXTREME,Extreme,0.8571428571428571,0.6939759036144578,0.7669773635153129,415
policy,KEEP,Keep,0.9373005443964708,0.8296776337653705,0.8802115469369767,6018
policy,ACCELERATE,Accelerate,0.6171529619805481,0.7729789590254706,0.6863323500491643,903
policy,DECELERATE,Decelerate,0.556407447973713,0.7394468704512372,0.635,687
policy,CHANGE_LEFT,Change left,0.21403508771929824,0.3546511627906977,0.26695842450765866,172
policy,CHANGE_RIGHT,Change right,0.2679738562091503,0.45054945054945056,0.3360655737704918,182
