run_id,profile_id,source_fault_seed,delay_ms,mean_truth_speed_mps,presentation_delay_ms,mean_position_error_m,matched_baseline_mean_position_error_m,baseline_adjusted_mean_position_error_m,expected_presentation_lag_distance_m,expected_injected_delay_distance_m,position_error_residual_to_buffer_plus_delay_m
baseline_r01,baseline,901,0,13.900000000000004,160.0,2.2505231755400983,2.2505231755400983,0.0,2.2240000000000006,0.0,0.026523175540097643
baseline_r02,baseline,902,0,13.900000000000004,160.0,2.252443382479196,2.252443382479196,0.0,2.2240000000000006,0.0,0.0284433824791952
baseline_r03,baseline,903,0,13.900000000000004,160.0,2.25367764206252,2.25367764206252,0.0,2.2240000000000006,0.0,0.02967764206251955
delay050_r01,delay050,901,50,13.900000000000004,160.0,2.946104445486758,2.2505231755400983,0.6955812699466599,2.2240000000000006,0.6950000000000002,0.02710444548675739
delay050_r02,delay050,902,50,13.900000000000004,160.0,2.9493890713435578,2.252443382479196,0.6969456888643619,2.2240000000000006,0.6950000000000002,0.03038907134355695
delay050_r03,delay050,903,50,13.900000000000004,160.0,2.944763920827071,2.25367764206252,0.6910862787645509,2.2240000000000006,0.6950000000000002,0.02576392082707024
delay100_r01,delay100,901,100,13.900000000000004,160.0,3.638280602672291,2.2505231755400983,1.3877574271321929,2.2240000000000006,1.3900000000000003,0.024280602672290152
delay100_r02,delay100,902,100,13.900000000000004,160.0,3.6432119025836154,2.252443382479196,1.3907685201044195,2.2240000000000006,1.3900000000000003,0.02921190258361439
delay100_r03,delay100,903,100,13.900000000000004,160.0,3.6426869247000737,2.25367764206252,1.3890092826375535,2.2240000000000006,1.3900000000000003,0.028686924700072725
delay250_r01,delay250,901,250,13.900000000000004,160.0,5.732818801563747,2.2505231755400983,3.4822956260236486,2.2240000000000006,3.475000000000001,0.03381880156374528
delay250_r02,delay250,902,250,13.900000000000004,160.0,5.726854121449425,2.252443382479196,3.4744107389702292,2.2240000000000006,3.475000000000001,0.027854121449423452
delay250_r03,delay250,903,250,13.900000000000004,160.0,5.7262178009774365,2.25367764206252,3.4725401589149163,2.2240000000000006,3.475000000000001,0.02721780097743487
delay500_r01,delay500,901,500,13.900000000000004,160.0,9.198554458908713,2.2505231755400983,6.948031283368615,2.2240000000000006,6.950000000000002,0.02455445890871122
delay500_r02,delay500,902,500,13.900000000000004,160.0,9.198294993874635,2.252443382479196,6.9458516113954385,2.2240000000000006,6.950000000000002,0.02429499387463263
delay500_r03,delay500,903,500,13.900000000000004,160.0,9.19677776492587,2.25367764206252,6.943100122863349,2.2240000000000006,6.950000000000002,0.02277776492586714
