run_id,profile_id,completion_reason,valid_for_analysis,target_duration_s,actual_duration_s,warmup_duration_s,packet_loss_percent,delay_ms,disconnect_at_s,disconnect_duration_s,duplicate_percent,out_of_order_percent,missing_vehicle_percent,invalid_vehicle_percent,missing_actors_percent,received_messages,transport_published_messages,applied_snapshots,rejected_contract,rejected_malformed_json,rejected_invalid,rejected_duplicate,rejected_out_of_order,stale_frame_percentage,mean_latency_ms,p95_latency_ms,mean_state_age_ms,p95_state_age_ms,mean_frame_time_ms,p95_frame_time_ms,mean_fps,recovery_elapsed_s,recovery_time_ms,maximum_recovery_jump_m,warning_count,error_count,snapshot_rows,frame_rows,source_rate_hz,source_fault_seed,source_packet_loss_percent,source_delay_ms,source_disconnect_at_s,source_disconnect_duration_s,source_duplicate_percent,source_out_of_order_percent,source_missing_vehicle_percent,source_invalid_vehicle_percent,source_missing_actors_percent,source_generated_messages,source_intentionally_dropped_messages,source_duplicate_messages_sent,source_out_of_order_messages_scheduled,source_malformed_messages_sent,valid_snapshot_count,partial_snapshot_count,mean_truth_speed_mps,presentation_delay_ms,expected_presentation_lag_distance_m,expected_injected_delay_distance_m,mean_position_error_m,p95_position_error_m,maximum_position_error_m,matched_position_frames,achieved_injected_loss_percent,matched_baseline_mean_position_error_m,baseline_adjusted_mean_position_error_m,position_error_residual_to_buffer_plus_delay_m
delay250_r02,delay250,measurement_window_complete,True,300,300.001999,30,0,250,-1,0.0,0,0,0,0,0,9065,9000,9000,0,0,0,0,0,0.0,251.888464,253.148806,268.18113,283.255601,0.847732,1.638166,1179.618079,,,,0,0,9000,353887,30.0,902,0.0,250.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9000,0,0,0,0,9000,0,13.900000000000004,160.0,2.2240000000000006,3.475000000000001,5.726854121449425,5.747843065341488,12.89257789982233,353887,0.0,2.252443382479196,3.4744107389702292,0.027854121449423452
delay250_r03,delay250,measurement_window_complete,True,300,300.002575,30,0,250,-1,0.0,0,0,0,0,0,9066,9000,9000,0,0,0,0,0,0.000285,254.192696,253.190482,268.103391,283.307791,0.853805,1.706374,1171.228188,228.505016,6.591797,7.405531,0,0,9000,351371,30.0,903,0.0,250.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9000,0,0,0,0,9000,0,13.900000000000004,160.0,2.2240000000000006,3.475000000000001,5.7262178009774365,5.745474424229554,19.601047802458204,351371,0.0,2.25367764206252,3.4725401589149163,0.02721780097743487
delay500_r01,delay500,measurement_window_complete,True,300,300.002254,30,0,500,-1,0.0,0,0,0,0,0,9071,9000,9000,0,0,0,0,0,0.0,501.22868,501.984119,518.075641,532.927036,0.758343,1.61554,1318.663796,,,,0,0,9000,395601,30.0,901,0.0,500.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9000,0,0,0,0,9000,0,13.900000000000004,160.0,2.2240000000000006,6.950000000000002,9.198554458908713,9.21352137072503,11.21064258042499,395601,0.0,2.2505231755400983,6.948031283368615,0.02455445890871122
delay500_r02,delay500,measurement_window_complete,True,300,300.001709,30,0,500,-1,0.0,0,0,0,0,0,9067,9000,9000,0,0,0,0,0,0.0,501.244117,502.839816,517.9719,532.917976,0.805279,0.907129,1241.805854,,,,0,0,9000,372543,30.0,902,0.0,500.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9000,0,0,0,0,9000,0,13.900000000000004,160.0,2.2240000000000006,6.950000000000002,9.198294993874635,9.210995257564607,10.698666846958586,372543,0.0,2.252443382479196,6.9458516113954385,0.02429499387463263
delay500_r03,delay500,measurement_window_complete,True,300,300.001163,30,0,500,-1,0.0,0,0,0,0,0,9069,9000,9000,0,0,0,0,0,0.0,501.027441,501.735926,518.24029,532.976866,0.770134,1.62491,1298.47588,,,,0,0,9000,389544,30.0,903,0.0,500.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9000,0,0,0,0,9000,0,13.900000000000004,160.0,2.2240000000000006,6.950000000000002,9.19677776492587,9.211403423723004,10.033372136278281,389544,0.0,2.25367764206252,6.943100122863349,0.02277776492586714
disconnect05_r01,disconnect05,measurement_window_complete,True,300,300.001465,30,0,0,120,0.5,0,0,0,0,0,9058,8985,8985,0,0,0,0,0,0.0,0.918172,1.8857,18.418122,32.786846,0.762158,1.61121,1312.063592,120.501465,1.464844,5.200895,0,0,8985,393620,30.0,901,0.0,0.0,120.0,0.5,0.0,0.0,0.0,0.0,0.0,9000,15,0,0,0,8985,0,13.900000000000004,160.0,2.2240000000000006,0.0,2.2493860056710933,2.260487533638411,7.422962488161603,393620,0.16666666666666666,2.2505231755400983,-0.001137169869005028,0.025386005671092615
disconnect05_r02,disconnect05,measurement_window_complete,True,300,300.002041,30,0,0,120,0.5,0,0,0,0,0,9055,8985,8985,0,0,0,0,0,0.000257,2.601796,1.890755,18.263928,32.820368,0.770861,1.593587,1297.250006,46.716908,0.0,7.289811,0,0,8985,389177,30.0,902,0.0,0.0,120.0,0.5,0.0,0.0,0.0,0.0,0.0,9000,15,0,0,0,8985,0,13.900000000000004,160.0,2.2240000000000006,0.0,2.249128012309369,2.259549200179699,16.243087728805197,389177,0.16666666666666666,2.252443382479196,-0.00331537016982697,0.02512801230936823
disconnect05_r03,disconnect05,measurement_window_complete,True,300,300.004417,30,0,0,120,0.5,0,0,0,0,0,9044,8986,8986,0,0,0,0,0,0.000299,3.036073,3.442764,18.403568,32.845974,0.896482,0.916879,1115.471034,120.530708,30.708313,0.018779,0,0,8986,334651,30.0,903,0.0,0.0,120.0,0.5,0.0,0.0,0.0,0.0,0.0,9000,15,0,0,0,8986,0,13.900000000000004,160.0,2.2240000000000006,0.0,2.253500068348226,2.280312772064197,16.29395930690425,334651,0.16666666666666666,2.25367764206252,-0.0001775737142941658,0.029500068348225383
disconnect1_r01,disconnect1,measurement_window_complete,True,300,300.002869,30,0,0,120,1.0,0,0,0,0,0,9042,8970,8970,0,0,0,0,0,0.012223,1.476345,1.435566,19.436839,33.022165,0.797128,1.682373,1254.502933,121.001785,1.785278,14.36661,0,0,8970,376352,30.0,901,0.0,0.0,120.0,1.0,0.0,0.0,0.0,0.0,0.0,9000,30,0,0,0,8970,0,13.900000000000004,160.0,2.2240000000000006,0.0,2.2624859097793353,2.258242981611569,14.37670540761422,376352,0.3333333333333333,2.2505231755400983,0.011962734239236994,0.03848590977933464
disconnect1_r02,disconnect1,measurement_window_complete,True,300,300.001812,30,0,0,120,1.0,0,0,0,0,0,9045,8970,8970,0,0,0,0,0,0.011424,0.781719,1.084089,19.705721,32.851982,0.761623,1.615094,1312.98606,121.000988,0.988007,14.358209,0,0,8970,393897,30.0,902,0.0,0.0,120.0,1.0,0.0,0.0,0.0,0.0,0.0,9000,30,0,0,0,8970,0,13.900000000000004,160.0,2.2240000000000006,0.0,2.2613975399881054,2.2569760284313114,14.361510082587527,393897,0.3333333333333333,2.252443382479196,0.0089541575089096,0.0373975399881048
